location,Total Cases,Total Death,Mortality Rate,Population,Population_Density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,female_smokers,male_smokers,January,February,March,April,May,June,July,August,September,October,November,December,Total_Smokers,
Afghanistan,49160,265560,5.4020,38928341,54.422,18.6,2.581,1.337,1803.987,597.029,9.59,37.746,0.5,64.83,0.498,0,0,0,0,174,1952,13081,16299,5158,1494,1109,2157,4849,2887,0,
Albania,50635,71522,1.4125,2877800,104.871,38,13.188,8.643,11803.431,304.195,10.08,0,2.89,78.57,0.785,3595,25925,0,0,241,530,364,1398,2741,4237,4136,7226,17307,12455,29520,
Algeria,93506,337276,3.6070,43851043,17.348,29.1,6.211,3.857,13913.839,278.364,6.73,83.741,1.9,76.88,0.754,655,28426,0,0,715,3290,5388,4513,16487,14100,7036,6412,25257,10308,29080,
Andorra,7445,14260,1.9154,77265,163.755,0,0,0,0,109.135,7.97,0,0,83.73,0.858,2159,2814,0,0,375,369,19,91,70,251,874,2706,1989,701,4973,
Angola,16406,30900,1.8835,32866268,23.89,16.8,2.405,1.362,5819.495,276.045,3.94,26.664,0,61.15,0.581,0,0,0,0,6,20,59,198,864,1506,2318,5833,4334,1268,0,
Antigua and Barbuda,150,789,5.2600,97928,231.845,32.1,6.933,4.631,21490.943,191.511,13.17,0,3.8,77.02,0.78,0,0,0,0,6,17,2,43,22,3,7,27,13,10,0,
Argentina,1517045,3167298,2.0878,45195777,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,0,5,76.67,0.825,245761,420221,0,0,1053,3374,12423,47679,126772,226433,333266,415923,257609,92513,665983,
Armenia,150217,207939,1.3843,2963234,102.931,35.7,11.232,7.571,8787.58,341.01,7.11,94.043,4.2,75.09,0.755,2253,78263,0,0,531,1534,7216,16260,13008,5231,6578,39454,45311,15094,80516,
Australia,28068,119319,4.2511,25499881,3.202,37.9,15.504,10.129,44648.71,107.791,5.07,0,3.84,83.44,0.939,3649,4631,5,16,4534,2207,436,718,9360,8539,1277,499,317,160,8280,
Austria,330341,271534,0.8220,9006400,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,0,7.37,81.54,0.908,93817,102075,0,7,10171,5272,1279,1035,3364,6308,17375,60112,177531,47887,195892,
Azerbaijan,187333,126313,0.6743,10139175,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,83.241,4.7,73,0.757,562,79617,0,0,295,1506,3690,12030,14354,4557,3794,15040,65907,66160,80179,
Bahamas,7713,15093,1.9568,393248,39.497,34.3,8.996,5.2,27717.847,235.954,13.17,0,2.9,73.92,0.807,239,1573,0,0,13,67,21,2,470,1643,1906,2591,827,173,1813,
Bahrain,89599,42014,0.4689,1701583,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,0,2,77.29,0.846,5197,33689,0,40,526,2473,8358,15360,14224,10990,18892,10781,5311,2644,38886,
Bangladesh,495838,858074,1.7306,164689383,1265.036,27.5,5.098,3.262,3523.984,298.003,8.38,34.808,0.8,72.59,0.608,4958,221640,0,0,48,7616,39486,98330,92178,75335,50483,44205,57248,30909,226598,
Barbados,299,1732,5.7926,287371,664.463,39.8,14.952,9.473,16978.068,170.05,13.57,88.469,5.8,79.19,0.8,6,43,0,0,32,47,11,5,13,64,16,47,39,25,49,
Belarus,165896,152216,0.9175,9449321,46.858,40.3,14.799,9.788,17167.967,443.129,5.18,0,11,74.79,0.808,17419,76478,0,0,151,13875,28529,19562,5690,4035,6788,19851,38165,29250,93897,
Belgium,615057,2646699,4.3032,11589616,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,0,5.64,81.63,0.916,154379,193128,0,0,12774,35744,9862,3046,7324,16485,33216,310777,148116,37713,347507,
Belize,9671,8028,0.8301,397621,16.426,25,3.853,2.279,7824.362,176.957,17.11,90.083,1.3,74.62,0.708,0,0,0,0,2,15,0,6,24,959,985,1495,2367,3818,0,
Benin,3151,6892,2.1872,12123198,99.11,18.8,3.244,1.942,2064.236,235.848,0.99,11.035,0.5,61.77,0.515,19,388,0,0,8,55,168,967,606,340,212,286,372,137,406,
Bhutan,439,0,0.0000,771612,21.188,28.6,4.885,2.977,8708.597,217.066,9.75,79.807,1.7,71.78,0.612,0,0,0,0,3,3,36,34,24,124,57,67,61,30,0,
Bolivia,148212,1098973,7.4149,11673029,10.202,25.4,6.704,4.393,6885.829,204.299,6.89,25.383,1.1,71.51,0.693,0,0,0,0,105,1060,8815,23237,43570,39809,18713,6446,2951,3506,0,
Bosnia and Herzegovina,103230,193396,1.8734,3280815,68.496,42.5,16.569,10.711,11713.895,329.635,10.08,97.164,3.5,77.4,0.768,31175,49241,0,0,418,1337,753,1943,7423,8088,7505,22621,37811,15331,80416,
Botswana,12870,2602,0.2022,2351625,4.044,25.8,3.941,2.242,15807.374,237.372,4.81,0,1.8,69.59,0.717,734,4427,0,0,1,19,12,192,577,829,1539,3470,4100,2131,5161,
Brazil,7040607,24228012,3.4412,212559409,25.04,33.5,8.552,5.06,14103.452,177.961,8.11,0,2.2,75.88,0.759,711101,1260269,0,1,5715,81470,427662,887192,1260444,1245787,902663,724670,800273,704730,1971370,
Brunei,151,652,4.3179,437483,81.347,32.4,4.591,2.382,71809.251,201.285,12.79,0,2.7,75.86,0.853,3,47,0,0,128,9,3,0,0,3,2,2,2,2,50,
Bulgaria,186242,243042,1.3050,6948445,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,0,7.454,75.05,0.813,56059,82691,0,0,395,1107,1007,2476,6701,4576,4567,32011,92456,40946,138750,
Burkina Faso,4448,14260,3.2059,20903278,70.151,17.6,2.409,1.358,1703.102,269.048,2.42,11.877,0.4,61.58,0.423,71,1063,0,0,260,384,202,115,144,262,688,444,386,1563,1134,
Burundi,739,248,0.3356,11890781,423.062,17.5,2.562,1.504,702.225,293.068,6.05,6.144,0.8,61.58,0.417,0,0,0,0,0,9,52,107,217,58,63,77,103,53,0,
Cambodia,361,0,0.0000,16718971,90.672,25.6,4.412,2.385,3645.07,270.892,4,66.229,0.8,69.82,0.582,7,122,0,0,108,13,3,16,98,35,3,14,35,36,129,
Cameroon,25471,82055,3.2215,26545864,50.885,18.8,3.165,1.919,3364.926,244.661,7.2,2.735,1.3,59.29,0.556,0,0,0,0,192,1639,4072,6688,4663,1887,1696,955,2652,1027,0,
Canada,485575,2138592,4.4042,37742157,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,0,2.5,82.43,0.926,58269,80605,3,16,8507,45930,38022,13618,12184,12637,30189,76206,144244,104019,138874,
Cape Verde,11457,10744,0.9378,555988,135.58,25.7,4.46,3.437,6222.554,182.219,2.42,0,2.1,72.98,0.654,241,1890,0,0,5,115,314,792,1224,1433,2140,2769,1968,697,2131,
